Date,Description,Reference/Transaction_ID,Debit,Credit,Balance,Category
20 Dec 2024,Mercedes College Perth Perth,,517.04,,,,Education
20 Dec 2024,Payment Received, Thank You,,,-500.00,,,
21 Dec 2024,Suica Mobile Payment Toukiyouto,,10.26,,,,Public Transport
21 Dec 2024,Intnl Transaction Fee,,0.00,,,
21 Dec 2024,Getyourguide Australia Sydney,,125.26,,,,Travel
21 Dec 2024,Intnl Transaction Fee,,0.00,,,
22 Dec 2024,Viator *It-1593840857 7027495744,,138.92,,,,Travel
22 Dec 2024,Intnl Transaction Fee,,0.00,,,
23 Dec 2024,Amaysim Mobile Pty Ltd Sydney,,15.00,,,,Telecommunications
23 Dec 2024,Amaysim Mobile Pty Ltd Sydney,,15.00,,,,Telecommunications
23 Dec 2024,Amaysim Mobile Pty Ltd Sydney,,15.00,,,,Telecommunications
23 Dec 2024,Suica Mobile Payment Toukiyouto,,10.26,,,,Public Transport
23 Dec 2024,Intnl Transaction Fee,,0.00,,,
23 Dec 2024,Suica Mobile Payment Toukiyouto,,10.26,,,,Public Transport
23 Dec 2024,Intnl Transaction Fee,,0.00,,,
24 Dec 2024,Payment Received, Thank You,,,-300.00,,,
26 Dec 2024,Steamgames.Com 4259522 Bellevue,,14.75,,,,Entertainment
26 Dec 2024,Intnl Transaction Fee,,0.00,,,
26 Dec 2024,Roots Cafe Nagano,,7.17,,,,Food & Drink
26 Dec 2024,Intnl Transaction Fee,,0.00,,,
26 Dec 2024,Sq*Penke Bar Hakuba Tokyo,,8.19,,,,Food & Drink
26 Dec 2024,Intnl Transaction Fee,,0.00,,,
26 Dec 2024,Sq*Penke Bar Hakuba Tokyo,,8.19,,,,Food & Drink
26 Dec 2024,Intnl Transaction Fee,,0.00,,,
27 Dec 2024,Sq*Penke Bar Hakuba Tokyo,,8.17,,,,Food & Drink
27 Dec 2024,Intnl Transaction Fee,,0.00,,,
27 Dec 2024,Sq*Penke Bar Hakuba Tokyo,,8.17,,,,Food & Drink
27 Dec 2024,Intnl Transaction Fee,,0.00,,,
28 Dec 2024,Emirates.Com 238264188 Sydney,,3703.84,,,,Travel
